RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2020-01-01,1.5806,5.5181,3.7231
AAF.L,2020-01-01,,3.9505,4.4056
AAK.ST,2020-01-01,4.3692,9.8208,7.3888
AAL.L,2020-01-01,1.3326,11.3449,
AALB.AS,2020-01-01,2.4446,9.0028,
ABBN.S,2020-01-01,3.676,4.1127,2.4075
ABDN.L,2020-01-01,1.169,2.0302,
ABF.L,2020-01-01,1.9141,8.5458,
ABI.BR,2020-01-01,2.1091,5.4306,4.2464
ABNd.AS,2020-01-01,0.7825,0.7087,
ABVX.PA,2020-01-01,23.3276,-65.9715,
ACCP.PA,2020-01-01,1.9862,4.4738,3.4557
ACKB.BR,2020-01-01,1.41148163914337,3.48777146077015,2.680285
ACLN.S,2020-01-01,,,
ACPP.WA,2020-01-01,0.919528849,5.16476738721805,2.376786
ACS.MC,2020-01-01,2.38755556906406,4.43075585164264,2.551916
AD.AS,2020-01-01,1.7575,5.2484,4.3458
ADDTb.ST,2020-01-01,5.2397,13.7695,10.8495
ADEN.S,2020-01-01,2.3214,10.6067,7.1763
ADML.L,2020-01-01,6.4643,7.0212,5.7812
ADP.PA,2020-01-01,3.4632,5.3256,3.5423
ADSGn.DE,2020-01-01,8.3554,14.0968,10.5698
ADYEN.AS,2020-01-01,23.9287,13.1954,10.4839
AEGN.AS,2020-01-01,0.334873708,0.366614121841612,0.366614
AENA.MC,2020-01-01,3.7241,12.641,9.7059
AG1G.DE,2020-01-01,,-20.8464,
AGES.BR,2020-01-01,0.992594241564348,1.11606318232411,0.927558
AIBG.I,2020-01-01,0.603286326,0.382960367810287,0.344033
AIR.PA,2020-01-01,16.855,0.9268,-1.1541
AIRP.PA,2020-01-01,3.1532,7.3291,
AIXGn.DE,2020-01-01,2.0612,7.2097,5.8953
AKE.PA,2020-01-01,1.582,6.525,
AKRBP.OL,2020-01-01,4.9887,9.4545,1.2299
AKZO.AS,2020-01-01,2.67221295,3.49408209519013,3.393352
ALCC.S,2020-01-01,1.4324,-1.2135,
ALEP.WA,2020-01-01,,,
ALFA.ST,2020-01-01,3.5851,11.7925,8.995
ALKb.CO,2020-01-01,5.6048,-0.5985,-0.9653
ALLFG.AS,2020-01-01,,-0.7073,
ALLN.S,2020-01-01,1.3001,6.6849,
ALSO.PA,2020-01-01,1.8374,2.401,2.5472
ALSYDB.CO,2020-01-01,0.756,0.75,0.5918
ALVG.DE,2020-01-01,1.2294,1.1607,0.8698
AM.PA,2020-01-01,2.1877,5.9176,4.3965
AMA.MC,2020-01-01,8.2957,13.7001,10.844
AMBUb.CO,2020-01-01,12.560719263,7.21110100090992,7.208926
AMUN.PA,2020-01-01,1.5773,6.1313,4.2449
ANA.MC,2020-01-01,1.4488,3.3746,
ANDR.VI,2020-01-01,3.460589947,1.73469164966699,1.806070
ANTO.L,2020-01-01,1.623,9.3979,5.8726
AOO.BR,2020-01-01,1.4438,6.8119,
ARDS.AS,2020-01-01,1.9224,1.8648,0.5059
ARGX.BR,2020-01-01,5.8315,-15.4746,
ASMI.AS,2020-01-01,2.6524,19.0232,16.3561
ASML.AS,2020-01-01,7.9776,11.777,
ASRNL.AS,2020-01-01,0.7692,1.8799,1.5086
ASSAb.ST,2020-01-01,4.1131,12.0836,8.9013
ATCOa.ST,2020-01-01,8.3842,20.3824,15.6307
AUTOA.L,2020-01-01,57.56009484,42.7158179735499,42.087295
AV.L,2020-01-01,0.71526698,0.589052614539257,0.589835
AVANZ.ST,2020-01-01,7.7328,0.374,0.3215
AVOL.S,2020-01-01,1.8126,0.9521,
AXAF.PA,2020-01-01,0.893140121,0.491477722539442,0.450580
AXFO.ST,2020-01-01,10.8502,14.7137,11.362
AYV.PA,2020-01-01,1.3984,2.8385,2.3381
AZMT.MI,2020-01-01,4.63400328366662,5.05806661570033,4.824279
AZN.L,2020-01-01,10.0819,2.5371,
BAB.L,2020-01-01,0.9807,3.5147,
BAER.S,2020-01-01,1.7526,0.5526,
BAES.L,2020-01-01,3.348,6.4555,
BAKKA.OL,2020-01-01,4.35599732351134,8.48379236315331,8.572112
BALDb.ST,2020-01-01,1.591,9.9218,8.0619
BALF.L,2020-01-01,1.3185,2.9337,
BAMI.MI,2020-01-01,0.2651,0.5167,0.4772
BARC.L,2020-01-01,0.468631986,0.295050125092808,0.296829
BARN.S,2020-01-01,4.6208,7.3381,5.9761
BASFn.DE,2020-01-01,1.4907,3.8062,2.9348
BATS.L,2020-01-01,1.16,5.5069,4.0383
BAVA.CO,2020-01-01,2.925277319,-6.8614337707029,-6.861149
BAWG.VI,2020-01-01,0.8719,1.3377,
BAYGn.DE,2020-01-01,1.5138,2.2562,1.9058
BBOXT.L,2020-01-01,0.9917,4.0366,
BBVA.MC,2020-01-01,0.641749964,0.743790811567164,0.511894
BC8G.DE,2020-01-01,5.1815,10.6888,
BCP.LS,2020-01-01,0.5008,0.7962,
BCU.MI,2020-01-01,7.2101,9.2687,7.1124
BCVN.S,2020-01-01,1.8905,0.8726,0.7544
BEAN.S,2020-01-01,8.837,21.1356,
BEIG.DE,2020-01-01,3.9878,10.9527,
BEIJb.ST,2020-01-01,7.662314714,8.34252586554177,8.125226
BESI.AS,2020-01-01,8.3363,10.634,11.0672
BEZG.L,2020-01-01,2.51418111,2.81316987403358,2.849146
BFT.WA,2020-01-01,4.186977844,6.75581243407335,6.669070
BGEO.L,2020-01-01,1.3514,3.335,2.9966
BGN.MI,2020-01-01,3.8513,3.026,2.5312
BIOX.PA,2020-01-01,4.546323963,7.40578018809638,7.493650
BIRG.I,2020-01-01,0.5447,0.5048,
BKGH.L,2020-01-01,1.4547,16.0073,
BKT.MC,2020-01-01,0.887013273,0.560327177739759,0.687327
