RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2019-01-01,1.5596,4.8319,3.2837
AAF.L,2019-01-01,,-0.1052,
AAK.ST,2019-01-01,3.4949,10.4733,7.6731
AAL.L,2019-01-01,1.1102,11.5946,
AALB.AS,2019-01-01,1.945,10.115,
ABBN.S,2019-01-01,2.8093,4.8214,3.5837
ABDN.L,2019-01-01,0.8731,-0.7473,
ABF.L,2019-01-01,1.8745,9.6521,
ABI.BR,2019-01-01,2.008,3.2255,7.1194
ABNd.AS,2019-01-01,0.9978,0.7969,
ABVX.PA,2019-01-01,4.1913,-36.7003,
ACCP.PA,2019-01-01,1.9216,0.7184,-0.1517
ACKB.BR,2019-01-01,1.45806920633704,3.19725971293034,2.096215
ACLN.S,2019-01-01,,,
ACPP.WA,2019-01-01,0.683005716,4.8412743714987,2.682588
ACS.MC,2019-01-01,3.58238916888893,3.7623772389366,2.731409
AD.AS,2019-01-01,1.7556,5.7964,4.8765
ADDTb.ST,2019-01-01,5.3979,13.2549,10.6353
ADEN.S,2019-01-01,1.8638,7.4153,4.692
ADML.L,2019-01-01,6.7294,7.522,6.1683
ADP.PA,2019-01-01,3.3769,5.8597,3.9021
ADSGn.DE,2019-01-01,5.6969,16.0508,11.5352
ADYEN.AS,2019-01-01,24.1062,10.9894,
AEGN.AS,2019-01-01,0.350664576,0.188769602266249,0.188516
AENA.MC,2019-01-01,3.1181,11.5032,8.7912
AG1G.DE,2019-01-01,,-25.0756,
AGES.BR,2019-01-01,0.826938200085742,0.972456811806829,0.789262
AIBG.I,2019-01-01,0.736320431,1.20265641692089,1.202656
AIR.PA,2019-01-01,6.6082,3.8149,2.6807
AIRP.PA,2019-01-01,2.61,7.0692,
AIXGn.DE,2019-01-01,2.1941,8.5451,9.2272
AKE.PA,2019-01-01,1.3325,8.4218,
AKRBP.OL,2019-01-01,3.0531,15.8569,4.1867
AKZO.AS,2019-01-01,2.446584072,2.60282592529032,38.178594
ALCC.S,2019-01-01,,-1.1019,
ALEP.WA,2019-01-01,,,
ALFA.ST,2019-01-01,3.3884,10.6598,8.2028
ALKb.CO,2019-01-01,3.285,-2.0971,-3.4613
ALLFG.AS,2019-01-01,,-10.179,
ALLN.S,2019-01-01,1.098,4.6136,
ALSO.PA,2019-01-01,2.0978,1.1953,3.3653
ALSYDB.CO,2019-01-01,0.8664,1.0179,0.8322
ALVG.DE,2019-01-01,1.2113,1.1562,0.8564
AM.PA,2019-01-01,2.3519,4.7844,3.5708
AMA.MC,2019-01-01,8.2496,14.8433,11.1355
AMBUb.CO,2019-01-01,20.264487666,10.00891000891,9.998611
AMUN.PA,2019-01-01,1.0874,5.8437,4.3003
ANA.MC,2019-01-01,1.1821,3.1715,
