RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2022-01-01,1.4331,3.9029,3.6647
AAF.L,2022-01-01,1.206,7.2164,6.1687
AAK.ST,2022-01-01,4.2846,8.0374,5.8531
AAL.L,2022-01-01,1.6823,27.4341,
AALB.AS,2022-01-01,3.0053,14.2652,
ABBN.S,2022-01-01,4.6416,14.2278,11.6291
ABDN.L,2022-01-01,0.6692,10.1845,
ABF.L,2022-01-01,1.471,4.3201,
ABI.BR,2022-01-01,1.7437,3.8118,2.7538
ABNd.AS,2022-01-01,0.6068,0.4625,
ABVX.PA,2022-01-01,16.6244,-50.1599,
ACCP.PA,2022-01-01,2.2699,-0.5253,0.1219
ACKB.BR,2022-01-01,1.52232621133758,3.06146387354883,2.431515
ACLN.S,2022-01-01,,,
ACPP.WA,2022-01-01,1.159244541,5.91881328983877,2.641931
ACS.MC,2022-01-01,1.82812245998129,-2.00517643858094,8.343818
AD.AS,2022-01-01,1.9463,4.1518,3.5352
ADDTb.ST,2022-01-01,10.8747,10.2337,9.4953
ADEN.S,2022-01-01,1.9574,6.9539,5.4301
ADML.L,2022-01-01,6.6069,10.0643,8.2277
ADP.PA,2022-01-01,3.1885,-1.2889,-1.3376
ADSGn.DE,2022-01-01,6.4519,8.5761,6.909
ADYEN.AS,2022-01-01,39.5254,11.694,9.4567
AEGN.AS,2022-01-01,0.34975835,0.233980336021152,0.361367
AENA.MC,2022-01-01,3.4467,-4.5809,-3.2025
AG1G.DE,2022-01-01,4.4987,-34.6414,-34.837
AGES.BR,2022-01-01,0.74532812007682,0.913024528547743,0.759356
AIBG.I,2022-01-01,0.431016992,0.541425333669101,0.543104
AIR.PA,2022-01-01,9.2004,4.6301,3.8445
AIRP.PA,2022-01-01,3.3866,8.1147,
AIXGn.DE,2022-01-01,3.3871,14.8643,14.2495
AKE.PA,2022-01-01,1.6348,14.5663,
AKRBP.OL,2022-01-01,5.0541,19.8831,5.6847
AKZO.AS,2022-01-01,3.195230786,6.35002772130845,6.128257
ALCC.S,2022-01-01,2.2528,1.5036,1.3525
