RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2025-01-01,1.2342,6.2453,4.6108
AAF.L,2025-01-01,2.3191,-0.5992,1.4928
AAK.ST,2025-01-01,4.0781,14.3524,10.909
AAL.L,2025-01-01,1.6463,-2.0759,
AALB.AS,2025-01-01,1.4927,6.2522,4.4788
ABBN.S,2025-01-01,6.8955,12.1214,9.1742
ABDN.L,2025-01-01,0.5161,3.1869,
ABF.L,2025-01-01,1.4386,10.1273,
ABI.BR,2025-01-01,1.2613,4.9618,3.4819
ABNd.AS,2025-01-01,0.5481,0.8952,
ABVX.PA,2025-01-01,10.5517,-66.2203,-66.2203
ACCP.PA,2025-01-01,2.9511,7.2801,5.6337
ACKB.BR,2025-01-01,1.24133382860352,3.0688019087559,2.339598
ACLN.S,2025-01-01,18.1056645412693,14.6977103997161,14.379258
ACPP.WA,2025-01-01,1.24282734327273,6.82224835131128,2.677418
ACS.MC,2025-01-01,2.830377246472,2.7503060483051,2.107852
AD.AS,2025-01-01,1.8551,4.459,3.5399
ADDTb.ST,2025-01-01,11.0097,13.6745,10.651
ADEN.S,2025-01-01,1.1147,3.6121,2.4705
ADML.L,2025-01-01,5.8102,10.9904,8.6593
ADP.PA,2025-01-01,2.4984,4.227,2.5904
ADSGn.DE,2025-01-01,7.7225,5.797,4.2612
ADYEN.AS,2025-01-01,10.6922,11.6867,8.8137
AEGN.AS,2025-01-01,1.09683442382807,0.214954266571909,0.218770
AENA.MC,2025-01-01,3.3323,14.6795,11.3271
AG1G.DE,2025-01-01,5.5272,1.2835,1.0679
AGES.BR,2025-01-01,1.14261439182835,1.34154590362187,1.145797
AIBG.I,2025-01-01,0.903007279341459,1.6937125155341,1.695874
AIR.PA,2025-01-01,6.175,4.3735,3.2876
AIRP.PA,2025-01-01,3.3677,9.0363,
AIXGn.DE,2025-01-01,2.0226,12.9074,10.3741
AKE.PA,2025-01-01,0.8168,3.4112,
AKRBP.OL,2025-01-01,0.9713,19.8148,4.4995
AKZO.AS,2025-01-01,2.16301604020485,4.11011212552505,3.762974
ALCC.S,2025-01-01,1.9452,4.1894,3.3955
ALEP.WA,2025-01-01,2.95515214415069,6.24656855220086,5.477857
ALFA.ST,2025-01-01,4.5619,11.685,8.6878
ALKb.CO,2025-01-01,6.5559,14.1197,10.887
ALLFG.AS,2025-01-01,1.5027,-1.4037,
ALLN.S,2025-01-01,1.0353,4.7599,
ALSO.PA,2025-01-01,0.6262,-0.7858,-0.6701
ALSYDB.CO,2025-01-01,1.3043,1.9247,1.4584
ALVG.DE,2025-01-01,1.8942,1.3824,1.0396
AM.PA,2025-01-01,2.4354,4.2202,3.5125
AMA.MC,2025-01-01,5.8792,13.6795,11.0958
AMBUb.CO,2025-01-01,4.9525454415557,3.35402840219796,3.354130
AMUN.PA,2025-01-01,1.0881,4.8097,3.505
AMV0n.DE,2025-01-01,,0.0272,
ANA.MC,2025-01-01,1.1971,2.3087,
ANDR.VI,2025-01-01,2.22966336184374,5.96027682574744,5.960277
ANTO.L,2025-01-01,2.0726,9.7966,6.8242
AOO.BR,2025-01-01,0.7334,3.2499,3.2449
ARDS.AS,2025-01-01,4.2639,8.8245,6.2995
ARGX.BR,2025-01-01,6.8646,1.5855,
ASMI.AS,2025-01-01,7.3218,18.4883,14.6077
ASML.AS,2025-01-01,12.1207,20.8205,
ASRNL.AS,2025-01-01,1.0894,1.0119,0.7444
ASSAb.ST,2025-01-01,3.3903,9.9501,7.4394
ATCOa.ST,2025-01-01,7.2331,19.3241,15.2312
AUTOA.L,2025-01-01,12.3305189068536,43.557336621455,44.018444
AV.L,2025-01-01,1.36436234433747,0.206525018821606,0.204866
AVANZ.ST,2025-01-01,6.7896,0.8373,0.7201
AVOL.S,2025-01-01,2.2452,2.0463,1.5332
AXAF.PA,2025-01-01,1.58210052724947,1.15842042542177,1.214963
AXFO.ST,2025-01-01,7.1578,8.8159,6.7807
AYV.PA,2025-01-01,0.4796,1.3667,0.9761
AZMT.MI,2025-01-01,1.93195189021242,5.85617545219605,5.706985
AZN.L,2025-01-01,4.9788,8.4727,
BAB.L,2025-01-01,6.7604,6.3609,
BAER.S,2025-01-01,1.7601,1.0444,
BAES.L,2025-01-01,2.9775,6.6433,
BAKKA.OL,2025-01-01,2.23212688803184,3.63108335067797,3.696911
BALDb.ST,2025-01-01,1.0336,1.7965,1.3955
BALF.L,2025-01-01,2.0975,3.9277,
BAMI.MI,2025-01-01,0.9026,1.2971,0.9595
BARC.L,2025-01-01,0.550528891680385,0.42434311438871,0.430745
BARN.S,2025-01-01,2.6559,2.025,1.6186
BASFn.DE,2025-01-01,1.0645,2.3585,1.6323
BATS.L,2025-01-01,1.3269,2.9779,2.6774
BAVA.CO,2025-01-01,1.38351433921418,6.87071424441056,6.869533
BAWG.VI,2025-01-01,1.5832,1.5615,1.1988
BAYGn.DE,2025-01-01,0.5947,-2.0554,-2.2421
BBOXT.L,2025-01-01,0.7207,7.5555,
BBVA.MC,2025-01-01,1.02801342930204,1.36631437504845,1.299000
BC8G.DE,2025-01-01,2.0501,8.6043,
BCP.LS,2025-01-01,0.9899,1.3652,
BCU.MI,2025-01-01,14.618,11.504,8.2254
BCVN.S,2025-01-01,1.8267,0.8629,0.7374
BEAN.S,2025-01-01,12.6973,24.7113,
BEIG.DE,2025-01-01,3.2659,10.3432,
BEIJb.ST,2025-01-01,3.67842551801983,5.29554485038152,5.149140
BESI.AS,2025-01-01,20.9331,17.6929,17.0802
BEZG.L,2025-01-01,1.60012128050905,7.77255160842238,8.005302
BFT.WA,2025-01-01,8.41610919593378,14.6184073180295,14.556469
BGEO.L,2025-01-01,1.0065,6.7837,5.9196
BGN.MI,2025-01-01,3.7587,3.5237,2.6669
BIOX.PA,2025-01-01,3.15571842520389,7.70862800565771,7.837377
BIRG.I,2025-01-01,0.7391,1.1684,
BKGH.L,2025-01-01,1.3533,8.0442,
BKT.MC,2025-01-01,1.15960165841756,0.811096219046732,0.811096
BKWB.S,2025-01-01,1.5206,7.2624,
BLND.L,2025-01-01,0.6917,0.1845,2.0879
BMEB.L,2025-01-01,7.1094,13.8603,
BMED.MI,2025-01-01,,1.7693,1.3655
BMPS.MI,2025-01-01,0.736,1.1945,1.6089
BMWG.DE,2025-01-01,0.540750833131408,2.96092337000744,2.811296
BNPP.PA,2025-01-01,0.522,0.6113,0.4602
BNRGn.DE,2025-01-01,1.768,6.7491,4.9414
BNZL.L,2025-01-01,3.916,7.3713,
BOL.ST,2025-01-01,1.3065,11.5105,9.1919
BOLL.PA,2025-01-01,0.6594,0.4096,0.3496
BOUY.PA,2025-01-01,0.8485,2.988,1.9737
BP.L,2025-01-01,1.3159,2.4113,0.437
BPTB.L,2025-01-01,3.0162,2.4936,2.1352
BRBY.L,2025-01-01,3.7925,10.856,1.1053
BT.L,2025-01-01,0.8717,2.2701,
BTRW.L,2025-01-01,0.8461,2.1475,
BUCN.S,2025-01-01,1.7703,10.1224,7.9043
BVI.PA,2025-01-01,6.6742,12.4717,8.5149
BWY.L,2025-01-01,0.85559750124148,2.580632403251,2.602661
BYG.L,2025-01-01,0.8526,8.525,9.1292
BZU.MI,2025-01-01,0.9758,13.4104,11.5614
CABK.MC,2025-01-01,1.0119,1.3438,
CAGR.PA,2025-01-01,0.5381,0.4724,0.3625
CAMX.ST,2025-01-01,10.1214,19.5071,15.1247
CAPP.PA,2025-01-01,2.2826,9.4083,6.66
CARLb.CO,2025-01-01,3.2816,8.8711,7.1105
CARR.PA,2025-01-01,0.8063,2.4081,1.8743
CAST.ST,2025-01-01,0.76987595870793,1.48615205157711,1.463945
CBKG.DE,2025-01-01,0.6201,0.7152,0.5309
CCH.L,2025-01-01,4.12885433968957,7.98410387029849,7.992870
CCL.L,2025-01-01,3.34101225394334,,3.959763
CDR.WA,2025-01-01,6.8953,15.1929,15.7091
CFR.S,2025-01-01,4.0305,11.1406,8.1385
CLNX.MC,2025-01-01,1.53211096325635,-0.098042045486261,-0.063710
CMBN.S,2025-01-01,1.8708,2.6412,
CNA.L,2025-01-01,1.5382,8.3743,
COFB.BR,2025-01-01,0.5989,1.2237,1.1141
COLOb.CO,2025-01-01,10.9892,13.2908,
CONG.DE,2025-01-01,0.6868,4.7003,3.635
CPG.L,2025-01-01,7.8469,8.9719,
CPRI.MI,2025-01-01,2.90865225715885,2.54108147688816,2.659841
CRDA.L,2025-01-01,2.03630003618214,4.5030683501446,4.577267
CRDI.MI,2025-01-01,1.01262235337682,1.24590657102904,1.238896
CSG.AS,2025-01-01,,14.7078,
CTEC.L,2025-01-01,3.42777913249513,5.27065724127436,5.443716
CVC.AS,2025-01-01,35.4793822600979,8.54166360567008,6.245681
CVO.PA,2025-01-01,0.6437,0.8851,0.791
CWK.L,2025-01-01,2.79954199521961,9.21377607025247,9.307736
DANO.PA,2025-01-01,2.50342411037913,4.67820624206376,4.502217
DANSKE.CO,2025-01-01,0.973,0.8384,0.6347
DAST.PA,2025-01-01,5.51011016752979,7.94274804099654,7.956670
DB1Gn.DE,2025-01-01,4.05407944025581,0.890007928868955,0.847428
DBKGn.DE,2025-01-01,0.4884,0.392,0.2597
DCC.L,2025-01-01,1.8402,3.7178,
DEMANT.CO,2025-01-01,6.0935578949042,9.18153533557686,7.576993
DGE.L,2025-01-01,6.9646,12.0854,
DHER.DE,2025-01-01,3.0062,-4.7354,-7.6977
DHLn.DE,2025-01-01,1.647,7.4081,5.2221
DIOR.PA,2025-01-01,4.73549398672479,8.98835719458526,3.626539
DKSH.S,2025-01-01,2.4017,5.5338,
DLG.MI,2025-01-01,2.48290990971512,7.97564819475946,7.626801
DLN.L,2025-01-01,0.6214,2.2652,
DNB.OL,2025-01-01,1.288,1.556,1.2987
DNP.WA,2025-01-01,5.3938,15.3077,12.8511
DPLM.L,2025-01-01,6.41769048422471,7.73487237460582,7.837975
DRX.L,2025-01-01,1.154,13.1863,
DSFIR.AS,2025-01-01,1.17195004025296,1.05561844832909,0.735110
DSV.CO,2025-01-01,3.1461,6.9974,5.3042
DTEGn.DE,2025-01-01,2.2367,7.7139,5.9327
DTGGe.DE,2025-01-01,1.3141,4.9412,3.9982
EDEN.PA,2025-01-01,,6.0163,4.1038
EDP.LS,2025-01-01,1.0719,2.4388,1.5436
EDPR.LS,2025-01-01,0.936,-1.2379,-1.2983
ELE.MC,2025-01-01,2.711,6.5854,
ELI.BR,2025-01-01,1.0847,3.3386,
ELIS.PA,2025-01-01,1.2863859491028,3.61484461946751,3.613775
ELISA.HE,2025-01-01,5.58920839652054,10.99830273106,11.060022
EMG.L,2025-01-01,1.9044,8.8889,
EMII.MI,2025-01-01,0.8481,1.453,1.0176
EMSN.S,2025-01-01,7.7945,24.9884,21.215
ENAG.MC,2025-01-01,1.2948,-3.9077,-3.7335
ENEI.MI,2025-01-01,2.6301,6.2156,4.3043
ENGIE.PA,2025-01-01,1.217,3.742,2.5889
ENI.MI,2025-01-01,0.8441,4.4822,1.9092
ENR1n.DE,2025-01-01,2.8795,3.6869,0.0078
ENT.L,2025-01-01,2.8423,-3.4052,
ENX.PA,2025-01-01,2.6215,0.3581,0.2649
EONGn.DE,2025-01-01,1.647,6.5203,4.9469
EPIRa.ST,2025-01-01,5.93097310864889,11.5687738236013,11.381829
EQNR.OL,2025-01-01,1.5105,22.5582,6.4276
EQTAB.ST,2025-01-01,4.21618960469002,7.02498970639471,7.024990
ERICb.ST,2025-01-01,3.177,0.8785,0.1269
ERST.VI,2025-01-01,1.02962554304495,1.14171410540881,0.904629
ESLX.PA,2025-01-01,2.665,5.274,
ESSITYb.ST,2025-01-01,2.47637486859311,6.19815234999755,10.592101
EUFI.PA,2025-01-01,2.1227,5.0934,
EVDG.DE,2025-01-01,7.632,14.4187,9.6538
EVKn.DE,2025-01-01,0.8643,2.1869,1.2094
EVOG.ST,2025-01-01,4.11211442763102,24.1082197960981,24.108220
EXHO.PA,2025-01-01,3.1159,5.5614,4.1711
EXOR.AS,2025-01-01,0.49620096286165,21.3802199083351,21.380220
EXPN.L,2025-01-01,8.6457,13.7403,
EZJ.L,2025-01-01,1.3258,5.7674,
FBK.MI,2025-01-01,4.293,2.7624,1.9184
FDJU.PA,2025-01-01,5.782,10.4056,7.7325
FER.MC,2025-01-01,4.8239,13.0918,
FHZN.S,2025-01-01,2.2521,8.0226,
FLS.CO,2025-01-01,1.7146,4.5082,2.9696
FMEG.DE,2025-01-01,0.8889,3.1318,2.1953
FNTGn.DE,2025-01-01,2.26554680714552,8.76106587056442,7.294977
FORTUM.HE,2025-01-01,1.2921,7.7623,6.4362
FOUG.PA,2025-01-01,1.1706,5.4654,3.8987
FPE3_p.DE,2025-01-01,2.8769,17.0077,
FRAG.DE,2025-01-01,1.15947514533916,2.56439733596977,2.302286
FREG.DE,2025-01-01,0.9667,3.7868,2.5936
FRES.L,2025-01-01,1.4513918261392,3.90238855630336,2.502348
FRO.OL,2025-01-01,1.34515627782252,,
FTKn.DE,2025-01-01,2.1151,3.1317,2.2441
G1AG.DE,2025-01-01,3.2551,8.7549,6.6433
G24n.DE,2025-01-01,4.3134,11.6308,7.9242
GALD.S,2025-01-01,3.3808,2.4713,
GALE.S,2025-01-01,2.3921,7.0802,6.0608
GALP.LS,2025-01-01,2.5526,14.0023,7.3363
GASI.MI,2025-01-01,1.3657,1.1537,0.8015
GAW.L,2025-01-01,13.0877,59.8732,
GBFG.DE,2025-01-01,1.3917073131581,5.3893181251741,5.266167
GBLB.BR,2025-01-01,0.5869,0.5529,0.2256
GEBN.S,2025-01-01,13.0182,20.4913,16.5926
GETIb.ST,2025-01-01,1.4982,3.8841,2.8152
GETP.PA,2025-01-01,3.49641200506016,3.47149975360018,3.471500
GF.S,2025-01-01,624.750850452902,4.37938831369749,5.065205
GFCP.PA,2025-01-01,0.6367,1.7577,1.746
GIVN.S,2025-01-01,7.9929,11.3058,9.3856
GJFG.OL,2025-01-01,4.1892,4.2677,3.2403
GL9.I,2025-01-01,2.0452,9.9137,
GLEN.L,2025-01-01,1.3264,-0.7848,-2.1185
GMAB.CO,2025-01-01,2.5632,22.786,19.4694
GRLS.MC,2025-01-01,1.16212522331173,1.00386477039694,0.740235
GSK.L,2025-01-01,4.0827,5.8699,
GTT.PA,2025-01-01,10.3211,56.8486,48.6067
HAGG.DE,2025-01-01,4.5697,2.8278,2.5619
HBANC.S,2025-01-01,2.1582,1.0509,0.8361
