RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2024-01-01,1.3736,4.3769,3.386
AAF.L,2024-01-01,1.358,9.6052,2.2575
AAK.ST,2024-01-01,3.4088,11.8498,9.1539
AAL.L,2024-01-01,1.1568,5.3676,
AALB.AS,2024-01-01,1.7611,10.1569,
ABBN.S,2024-01-01,6.0869,11.9319,9.6094
ABDN.L,2024-01-01,0.6467,-1.4151,
ABF.L,2024-01-01,1.4155,6.9396,
ABI.BR,2024-01-01,1.5627,4.2213,3.1882
ABNd.AS,2024-01-01,0.5304,0.9357,
ABVX.PA,2024-01-01,3.1521,-73.3919,-73.7936
ACCP.PA,2024-01-01,2.2206,5.9095,5.5701
ACKB.BR,2024-01-01,1.10704550682033,2.76371616794478,2.175620
ACLN.S,2024-01-01,11.3954152247388,10.0507596584096,9.121959
ACPP.WA,2024-01-01,0.929894700779749,6.2305391990628,2.578812
ACS.MC,2024-01-01,2.06080043755992,2.50583940807713,2.106204
AD.AS,2024-01-01,1.6679,4.773,3.8889
ADDTb.ST,2024-01-01,9.9995,14.4776,11.0005
ADEN.S,2024-01-01,2.0712,3.9477,2.5461
ADML.L,2024-01-01,8.0446,6.6561,5.0688
ADP.PA,2024-01-01,2.6501,5.2772,4.0722
ADSGn.DE,2024-01-01,7.1794,0.3393,-0.3027
ADYEN.AS,2024-01-01,11.4899,10.9678,8.1254
AEGN.AS,2024-01-01,1.02784003832036,-0.053367112956479,-0.052487
AENA.MC,2024-01-01,3.0887,12.9673,9.8491
AG1G.DE,2024-01-01,2.4209,-6.9589,-6.8639
AGES.BR,2024-01-01,0.999241157093904,1.21349588885739,0.982550
AIBG.I,2024-01-01,0.794382300058835,1.54678110942837,1.549036
AIR.PA,2024-01-01,6.1368,4.0619,3.0773
AIRP.PA,2024-01-01,3.7883,8.4932,
AIXGn.DE,2024-01-01,5.5966,16.3187,15.0258
AKE.PA,2024-01-01,1.185,4.2957,
AKRBP.OL,2024-01-01,1.4889,22.88,3.4871
AKZO.AS,2024-01-01,2.90708500842556,3.33117171234513,3.017168
