RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2018-01-01,1.6659,5.6648,
AAK.ST,2018-01-01,3.8762,9.7781,7.1135
AAL.L,2018-01-01,1.0707,10.5148,
AALB.AS,2018-01-01,3.1457,9.5822,
ABBN.S,2018-01-01,3.734,5.0859,3.6656
ABDN.L,2018-01-01,1.3129,0.2254,
ABF.L,2018-01-01,2.9243,13.0323,
ABI.BR,2018-01-01,2.9762,4.4065,7.1194
ABNd.AS,2018-01-01,1.31,0.9575,
ABVX.PA,2018-01-01,1.9396,-24.3226,
ACCP.PA,2018-01-01,2.7388,3.1156,3.4748
ACKB.BR,2018-01-01,1.70290105360509,3.45928298404286,2.296760
ACLN.S,2018-01-01,,,
ACPP.WA,2018-01-01,0.649875947,4.99967576681149,3.883545
ACS.MC,2018-01-01,2.49785954765513,3.35746081292615,2.477654
AD.AS,2018-01-01,1.4837,5.4971,5.1806
ADDTb.ST,2018-01-01,5.8338,13.9423,10.8228
ADEN.S,2018-01-01,2.9597,9.3952,7.7443
ADML.L,2018-01-01,7.4974,7.5281,6.1866
ADP.PA,2018-01-01,3.427,7.0291,4.9381
ADSGn.DE,2018-01-01,5.6491,13.8585,9.2756
ADYEN.AS,2018-01-01,,7.3403,
AEGN.AS,2018-01-01,0.458463934,0.574294658646163,0.574295
AENA.MC,2018-01-01,4.0924,10.3611,7.9294
AG1G.DE,2018-01-01,,-15.856,
AGES.BR,2018-01-01,0.890602228590525,0.818747191576729,0.600286
AIBG.I,2018-01-01,1.130221578,1.19988798173241,1.199888
AIR.PA,2018-01-01,5.9047,3.469,2.1434
AIRP.PA,2018-01-01,2.7472,5.9449,
AIXGn.DE,2018-01-01,3.5095,1.2336,1.4647
AKE.PA,2018-01-01,2.057,7.9781,
AKRBP.OL,2018-01-01,2.9643,7.6256,2.5834
AKZO.AS,2018-01-01,2.432548288,3.15685426576883,5.139927
ALEP.WA,2018-01-01,,,
ALFA.ST,2018-01-01,3.9852,8.2529,5.6416
ALKb.CO,2018-01-01,2.4416,-2.5008,-3.2387
ALLN.S,2018-01-01,1.2194,3.8312,
ALSO.PA,2018-01-01,1.4637,1.651,2.0881
ALSYDB.CO,2018-01-01,1.4019,1.3718,1.0737
ALVG.DE,2018-01-01,1.2821,1.137,0.8075
AM.PA,2018-01-01,2.8835,6.1394,4.3886
AMA.MC,2018-01-01,10.0115,16.1297,12.8376
AMBUb.CO,2018-01-01,20.649393113,12.3715577476367,12.374225
AMUN.PA,2018-01-01,1.7352,5.9083,4.1616
ANA.MC,2018-01-01,1.0057,2.0621,
ANDR.VI,2018-01-01,3.776345557,4.26226514641924,4.219646
ANTO.L,2018-01-01,1.8293,13.1083,8.5718
AOO.BR,2018-01-01,1.5459,4.8244,
ARDS.AS,2018-01-01,1.6848,3.2663,2.1175
ARGX.BR,2018-01-01,4.8999,-11.1442,
ASMI.AS,2018-01-01,1.4239,21.2193,21.0041
ASML.AS,2018-01-01,5.1455,12.8847,
ASRNL.AS,2018-01-01,0.8903,2.0043,1.6109
ASSAb.ST,2018-01-01,3.7371,11.9892,8.8689
ATCOa.ST,2018-01-01,5.1291,14.5426,10.467
AUTOA.L,2018-01-01,-773.669398829,42.5357364822871,41.811986
AV.L,2018-01-01,0.912409882,0.372720736836742,0.332070
AVANZ.ST,2018-01-01,7.2331,0.4069,0.3488
AVOL.S,2018-01-01,2.49,2.0281,
AXAF.PA,2018-01-01,0.880127888,0.749101911554242,0.704403
AXFO.ST,2018-01-01,7.7707,17.0938,13.3315
AYV.PA,2018-01-01,1.5512,3.5922,
AZMT.MI,2018-01-01,4.10199658344997,2.85348830732171,2.712992
AZN.L,2018-01-01,5.8567,3.5383,
BAB.L,2018-01-01,1.6703,6.1324,
BAER.S,2018-01-01,2.23,0.9132,
BAES.L,2018-01-01,3.874,4.6071,
BAKKA.OL,2018-01-01,3.48726242142008,9.6731567733774,9.662322
BALDb.ST,2018-01-01,1.2619,9.2054,7.8116
BALF.L,2018-01-01,1.9406,2.4239,
BAMI.MI,2018-01-01,0.3653,1.2406,1.3288
BARC.L,2018-01-01,0.535419465,0.125725907293552,-0.092532
BARN.S,2018-01-01,3.5803,6.0965,5.0624
BASFn.DE,2018-01-01,2.4902,8.8649,7.2032
BATS.L,2018-01-01,1.8943,32.6577,31.0462
BAVA.CO,2018-01-01,2.717894966,6.0686681160417,6.062400
BAWG.VI,2018-01-01,1.0676,1.1662,
BAYGn.DE,2018-01-01,2.337,5.8185,4.129
BBOXT.L,2018-01-01,1.0523,10.5997,
BBVA.MC,2018-01-01,0.987607102,0.669800937468133,0.494966
BC8G.DE,2018-01-01,3.7565,12.003,
BCP.LS,2018-01-01,0.6828,0.4448,
BCU.MI,2018-01-01,7.0914,13.5044,11.9295
BCVN.S,2018-01-01,1.8234,0.9015,0.7158
BEAN.S,2018-01-01,6.3858,20.0101,
BEIG.DE,2018-01-01,4.3506,12.9547,
BEIJb.ST,2018-01-01,4.193658434,7.27504152404218,7.048865
BESI.AS,2018-01-01,6.0026,27.2421,23.679
