RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2015-01-01,1.0086,1.5087,
AAK.ST,2015-01-01,3.0265,10.2319,7.8645
AAL.L,2015-01-01,0.8267,-0.3776,
AALB.AS,2015-01-01,2.3993,9.0613,
ABBN.S,2015-01-01,2.8496,8.3861,5.7988
ABDN.L,2015-01-01,1.4958,0.3422,
ABF.L,2015-01-01,3.1525,9.8143,
ABI.BR,2015-01-01,3.6516,9.7116,7.9531
ABNd.AS,2015-01-01,,0.4074,
ABVX.PA,2015-01-01,,-30.8318,
ACCP.PA,2015-01-01,3.1263,5.3183,3.097
ACKB.BR,2015-01-01,1.47549321868035,2.91550715346417,1.900211
ACLN.S,2015-01-01,,,
ACPP.WA,2015-01-01,0.809913958,5.02416207474264,3.417225
ACS.MC,2015-01-01,2.55401819446267,1.1694733834477,1.808867
AD.AS,2015-01-01,2.3467,6.9331,5.403
ADDTb.ST,2015-01-01,4.5738,14.5549,10.8747
ADEN.S,2015-01-01,2.5894,8.8143,6.8212
ADML.L,2015-01-01,5.0063,9.5412,7.6612
ADP.PA,2015-01-01,2.4933,6.3095,4.148
ADSGn.DE,2015-01-01,2.093,6.9537,4.6969
AEGN.AS,2015-01-01,0.513857395,0.307865116434845,0.307607
AENA.MC,2015-01-01,,3.9716,
AGES.BR,2015-01-01,0.659368902716198,0.661283361634675,0.479577
AIBG.I,2015-01-01,3.682575221,0.782453849877214,0.812651
AIR.PA,2015-01-01,4.5317,3.4479,2.5218
AIRP.PA,2015-01-01,3.0746,9.2598,
AIXGn.DE,2015-01-01,2.5153,-10.4202,-11.3994
AKE.PA,2015-01-01,1.411,4.7356,
AKRBP.OL,2015-01-01,1.6591,-10.5555,-7.8442
AKZO.AS,2015-01-01,2.054335056,3.70805265434769,3.374328
ALEP.WA,2015-01-01,,,
ALFA.ST,2015-01-01,3.6426,9.0788,6.545
ALKb.CO,2015-01-01,2.6715,8.9726,5.4135
ALLN.S,2015-01-01,1.1185,3.3025,
ALSO.PA,2015-01-01,1.056,0.0097,0.2985
ALSYDB.CO,2015-01-01,1.2335,0.8854,0.7008
ALVG.DE,2015-01-01,1.0271,1.1666,
AM.PA,2015-01-01,2.3767,3.6269,2.8314
AMA.MC,2015-01-01,7.9744,15.4935,10.9063
AMBUb.CO,2015-01-01,8.304647251,7.74557578866376,
AMUN.PA,2015-01-01,,5.7567,
ANA.MC,2015-01-01,0.9221,1.7409,
ANDR.VI,2015-01-01,4.859418021,3.630907506415,3.646245
ANTO.L,2015-01-01,1.8713,12.0263,6.4536
AOO.BR,2015-01-01,1.2906,2.9417,
ARDS.AS,2015-01-01,2.2926,6.1082,
ARGX.BR,2015-01-01,2.3895,-26.013,
ASMI.AS,2015-01-01,1.1325,9.0107,-86.5704
ASML.AS,2015-01-01,4.6316,12.0801,
ASRNL.AS,2015-01-01,,1.1277,
ASSAb.ST,2015-01-01,4.2549,11.9346,8.8309
ATCOa.ST,2015-01-01,3.7088,16.6598,12.6053
AUTOA.L,2015-01-01,,,
AV.L,2015-01-01,1.224721799,0.592231195778238,0.571348
AVANZ.ST,2015-01-01,9.1404,0.4777,0.4035
AVOL.S,2015-01-01,2.2806,1.878,
AXAF.PA,2015-01-01,0.788320047,0.669002387951188,0.629767
AXFO.ST,2015-01-01,6.075,15.359,11.8576
AYV.PA,2015-01-01,,3.7801,
AZMT.MI,2015-01-01,3.59479079430636,2.089208749801,2.063553
AZN.L,2015-01-01,4.5657,2.1765,
BAB.L,2015-01-01,4.8558,7.1324,
BAER.S,2015-01-01,1.8869,0.6077,
BAES.L,2015-01-01,8.0793,4.4693,
BAKKA.OL,2015-01-01,3.53749094884927,19.6833262891437,19.699494
BALDb.ST,2015-01-01,1.2554,10.8849,8.9112
BALF.L,2015-01-01,1.1922,-5.5495,
BAMI.MI,2015-01-01,0.4517,-2.2558,
BARC.L,2015-01-01,0.672523462,0.014214146481221,0.005812
BARN.S,2015-01-01,3.4423,6.1356,5.2607
BASFn.DE,2015-01-01,2.3243,10.6268,8.1025
BATS.L,2015-01-01,11.8406,18.2778,12.7922
BAVA.CO,2015-01-01,5.854619609,1.55353807216346,1.554710
BAWG.VI,2015-01-01,,0.9717,
BAYGn.DE,2015-01-01,4.6476,7.2628,5.5006
BBVA.MC,2015-01-01,1.00466138,0.49942959371516,0.424240
BC8G.DE,2015-01-01,2.5011,11.1457,
BCP.LS,2015-01-01,0.8806,-0.219,
BCU.MI,2015-01-01,7.6479,14.0512,9.6206
BCVN.S,2015-01-01,1.3842,0.9267,
BEAN.S,2015-01-01,4.4783,20.5804,
BEIG.DE,2015-01-01,4.2139,13.374,
BEIJb.ST,2015-01-01,2.045294812,6.00558730297382,5.679435
BESI.AS,2015-01-01,2.1351,18.1698,18.1198
BEZG.L,2015-01-01,1.656206214,3.30997213543866,3.559449
BFT.WA,2015-01-01,5.564614131,17.5768505577835,17.340788
BGEO.L,2015-01-01,0.9743,3.9233,3.4151
BGN.MI,2015-01-01,4.9713,3.1726,
BIOX.PA,2015-01-01,2.672207004,5.67289778317389,5.647778
BIRG.I,2015-01-01,1.1567,0.7025,
BKGH.L,2015-01-01,1.9165,13.9521,
BKT.MC,2015-01-01,1.193576599,0.490506579205051,0.490507
BKWB.S,2015-01-01,0.5857,4.2791,
BLND.L,2015-01-01,0.9777,11.6548,16.6202
BMEB.L,2015-01-01,,-1.2189,
BMED.MI,2015-01-01,,1.1336,
BMPS.MI,2015-01-01,0.4171,-4.1044,
BMWG.DE,2015-01-01,1.60488203,3.96821065556996,3.955249
BNPP.PA,2015-01-01,0.6848,0.162,0.0261
BNRGn.DE,2015-01-01,3.09,8.576,5.7371
BNZL.L,2015-01-01,6.0008,8.9748,
BOL.ST,2015-01-01,1.2606,5.7662,4.4314
BOLL.PA,2015-01-01,1.1666,3.3918,2.1358
BOUY.PA,2015-01-01,1.2829,2.4087,3.0804
BP.L,2015-01-01,1.0475,1.678,1.357
BRBY.L,2015-01-01,5.3105,23.9459,17.7139
BT.L,2015-01-01,,9.2894,
BTRW.L,2015-01-01,0.9682,7.813,
BUCN.S,2015-01-01,2.1676,9.681,7.5266
BVI.PA,2015-01-01,7.2334,11.3665,7.2379
BWY.L,2015-01-01,1.734303097,10.5935313957275,
BYG.L,2015-01-01,1.303,6.9719,6.8686
BZU.MI,2015-01-01,0.8909,3.3953,2.3295
CABK.MC,2015-01-01,0.9738,0.0596,
CAGR.PA,2015-01-01,0.5522,0.2082,0.1779
CAPP.PA,2015-01-01,1.911,7.2383,5.297
CARLb.CO,2015-01-01,1.3928,4.6148,
CARR.PA,2015-01-01,1.927,4.5015,2.9114
CAST.ST,2015-01-01,1.516191126,3.17843597853047,3.077017
CBKG.DE,2015-01-01,0.4785,0.1132,0.0671
CCH.L,2015-01-01,1.823598873,4.15718746908957,4.165666
CCL.L,2015-01-01,1.403998165,,
CDR.WA,2015-01-01,9.4375,4.0036,4.0795
CFR.S,2015-01-01,3.2604,16.3998,10.9492
CLNX.MC,2015-01-01,,,
CMBN.S,2015-01-01,1.9562,3.7694,
CNA.L,2015-01-01,5.0686,-6.0818,
COFB.BR,2015-01-01,1.102,-1.3314,
